matrix_case_id,source_case_id,repair_id,slot_id,adapter_id,requested_mode,resource_class,seed,timeout_sec,video_path,dss_path,source_audio,repair_decision,allowed_publish_type,expected_output,case_order,slot_order,slot_key,model_revision,checkpoint_digest,queue_wait_ms,peak_gpu_memory_mb,cache_hit,resumed,status,generation_mode,output_path,output_sha256,runtime_ms,failure_code,failure_reason,audio
fb_009_tuesday_repair,glass_drop_room_001,fb_009_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260723,600,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_009/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_009_tuesday_repair/t2a_dss.wav,2,2,sha256:9fe34574cc2115a669adba18efffbfda3c671902dcb754958ff01bdb22d2f029,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_009_tuesday_repair,glass_drop_room_001,fb_009_tuesday_repair,control,control,CONTROL,cpu,20260723,30,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_009/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_009_tuesday_repair/control.wav,2,3,sha256:563e8335ecd4e036a8b8f53dd0aeff2acd3ebb58a4d00b6523e13c7b0e72a244,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_009_tuesday_repair/control.wav,sha256:918f31f60ee948b8f0517216852edbf7f04de614a11bd6e37b21cfa04b02a0bf,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.009375}"
fb_010_tuesday_repair,glass_drop_room_001,fb_010_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260724,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_010/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_010_tuesday_repair/v2a_primary.wav,3,0,sha256:62ee47d07581c389634ff2856ea8e5bb7a5a5975e021a24a4a9e5f42bbaf5ff6,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_010_tuesday_repair,glass_drop_room_001,fb_010_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260724,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_010/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_010_tuesday_repair/v2a_temporal.wav,3,1,sha256:958b999ed29a571ba359da69e8d5136aeef47e85ca48053429289ae81b5b2623,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_010_tuesday_repair,glass_drop_room_001,fb_010_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260724,600,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_010/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_010_tuesday_repair/t2a_dss.wav,3,2,sha256:b11ec88a231999201b43901754e46da711df15c9c8852c07d1641ccbb35ff054,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_010_tuesday_repair,glass_drop_room_001,fb_010_tuesday_repair,control,control,CONTROL,cpu,20260724,30,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_010/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_010_tuesday_repair/control.wav,3,3,sha256:d15ce094fe0f47d6dc334d1aaa847f91d213f5a97ac88c9731dec997cf6eb3d1,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_010_tuesday_repair/control.wav,sha256:50a017c1c5b9994e49a37446e3af9777796262bb6a1158c277c8bbdf12db549f,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.005}"
fb_011_semantic_repair,glass_drop_room_001,fb_011_semantic_repair,v2a_primary,mmaudio,LIVE,gpu,20260725,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/layer_semantic_20260715/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_semantic_repair/v2a_primary.wav,4,0,sha256:2c45dd61fd048d08745adc7c94186792872cc324dbbc29cf6814fbf287521caa,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_011_semantic_repair,glass_drop_room_001,fb_011_semantic_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260725,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/layer_semantic_20260715/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_semantic_repair/v2a_temporal.wav,4,1,sha256:aed441e64e34322a95b9335dc886404fae83cb06ec0b430719affd54b7a60059,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_011_semantic_repair,glass_drop_room_001,fb_011_semantic_repair,t2a_dss,tangoflux,LIVE,gpu,20260725,600,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/layer_semantic_20260715/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_semantic_repair/t2a_dss.wav,4,2,sha256:402afe7958c24416feea691a6b700eaeabbdbffe996ca7dbd1e26843b71815d5,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_011_semantic_repair,glass_drop_room_001,fb_011_semantic_repair,control,control,CONTROL,cpu,20260725,30,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/layer_semantic_20260715/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_semantic_repair/control.wav,4,3,sha256:aecfd4fe5c5d24c6e38281297ed8cfa6e56803aac86a3338ad0b44276adabeed,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_semantic_repair/control.wav,sha256:c04e9c0db9a5a484e8df721d445484f2227c31f6cc1397535d0258e99becdb22,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.008125}"
fb_011_tuesday_repair,glass_drop_room_001,fb_011_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260726,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_tuesday_repair/v2a_primary.wav,5,0,sha256:86f2ddd2cd392bf620c05749088be0023aff9cea01d34ec2c6f48048ea6e73ac,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_011_tuesday_repair,glass_drop_room_001,fb_011_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260726,900,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_tuesday_repair/v2a_temporal.wav,5,1,sha256:733d58fccf35e31fb5ce2b3e8fb3b78f5ced0ded4721fa2d3fe9b2f19c7a4fef,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_011_tuesday_repair,glass_drop_room_001,fb_011_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260726,600,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_tuesday_repair/t2a_dss.wav,5,2,sha256:6c6ccdbb85a39ccd592f49973ef60ef08b428316f711bd1b41d3bd9459a733a4,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_011_tuesday_repair,glass_drop_room_001,fb_011_tuesday_repair,control,control,CONTROL,cpu,20260726,30,cases/glass_drop_room_001/input_video.mp4,cases/glass_drop_room_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_011/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_tuesday_repair/control.wav,5,3,sha256:7ac5a8acea65fe7e90e5ea395bed7046d776f831e4a985ab3e5cfb877b07531f,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_011_tuesday_repair/control.wav,sha256:ac239dba3cdee9abc85bf597d2d37eeff3f135d9f1b0c86f10f1cedbc88481bf,5,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.00875}"
fb_006_tuesday_repair,kitchen_chop_sizzle_001,fb_006_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260727,900,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_006/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_006_tuesday_repair/v2a_primary.wav,6,0,sha256:3a4edd83e4322a179fc9bd7af54bda26672f93dd94378cad36bc34a7ed2b5219,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_006_tuesday_repair,kitchen_chop_sizzle_001,fb_006_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260727,900,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_006/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_006_tuesday_repair/v2a_temporal.wav,6,1,sha256:fef367e02804e14b796778ef52a9dcaa462392c5f0d3ff19ff8999d44a0653e0,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_006_tuesday_repair,kitchen_chop_sizzle_001,fb_006_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260727,600,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_006/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_006_tuesday_repair/t2a_dss.wav,6,2,sha256:c8a97c228e6ec813af59e1184a0b11420f2331122de8351988b6ea08c93ca834,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_006_tuesday_repair,kitchen_chop_sizzle_001,fb_006_tuesday_repair,control,control,CONTROL,cpu,20260727,30,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_006/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_006_tuesday_repair/control.wav,6,3,sha256:a5896fa4c94dedbc136c76468fedd43c0d65ba51892136f06fffd353a20b134a,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_006_tuesday_repair/control.wav,sha256:904c785320b7f06981bf3fb456911292df7fa29e048ae72a66e5b8e9124b6364,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.008125}"
fb_007_tuesday_repair,kitchen_chop_sizzle_001,fb_007_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260728,900,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_007/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_007_tuesday_repair/v2a_primary.wav,7,0,sha256:ac68322d1c7cb9a029706d1accf084ed21e6546ff628cec1b9c03f2c025adc5b,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_007_tuesday_repair,kitchen_chop_sizzle_001,fb_007_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260728,900,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_007/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_007_tuesday_repair/v2a_temporal.wav,7,1,sha256:172a4a157720115b4fda521821333280c9b3911df85e55b6cd12f56feeb1de89,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_007_tuesday_repair,kitchen_chop_sizzle_001,fb_007_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260728,600,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_007/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_007_tuesday_repair/t2a_dss.wav,7,2,sha256:8025ed7230e4f80997803de722ebe423ab13b54d6d463ba8c7f7c38339f97e3a,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_007_tuesday_repair,kitchen_chop_sizzle_001,fb_007_tuesday_repair,control,control,CONTROL,cpu,20260728,30,cases/kitchen_chop_sizzle_001/input_video.mp4,cases/kitchen_chop_sizzle_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_007/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_007_tuesday_repair/control.wav,7,3,sha256:24da5653989d07fc708f07f460e5ab7c21d1cd4fa7ec6e609ab314a6bbf07dbc,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_007_tuesday_repair/control.wav,sha256:0fa297b7ee3fecbac7edbe3d5032db1be07f27e7e3c729b628445a412b6fae39,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.0075}"
fb_002_tuesday_repair,robot_warehouse_pick_001,fb_002_tuesday_repair,v2a_primary,mmaudio,LIVE,gpu,20260729,900,cases/robot_warehouse_pick_001/input_video.mp4,cases/robot_warehouse_pick_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_002/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_002_tuesday_repair/v2a_primary.wav,8,0,sha256:2ec5bee45434682dcaf39e99be97025cb1354e252746b11223db832b98833569,local-checkout,sha256:11fd92e860a58f0fac972706dd06034e49dceff2e1450bbde5703785c812b0f1,0,0.0,False,True,BLOCKED,LIVE,,,0,DEPENDENCY_MISSING,"missing imports: torch,torchaudio",
fb_002_tuesday_repair,robot_warehouse_pick_001,fb_002_tuesday_repair,v2a_temporal,foleycrafter,LIVE,gpu,20260729,900,cases/robot_warehouse_pick_001/input_video.mp4,cases/robot_warehouse_pick_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_002/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_002_tuesday_repair/v2a_temporal.wav,8,1,sha256:7bb17ec7f284a0ba3de8efff5c1794a5e4734960a2330d8811852f7c5bc5dd14,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/FoleyCrafter,
fb_002_tuesday_repair,robot_warehouse_pick_001,fb_002_tuesday_repair,t2a_dss,tangoflux,LIVE,gpu,20260729,600,cases/robot_warehouse_pick_001/input_video.mp4,cases/robot_warehouse_pick_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_002/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_002_tuesday_repair/t2a_dss.wav,8,2,sha256:0f7cca45f65f124adc2ad5d3733b5783b0e3725d914741e53079b0418b881260,unknown,,0,0.0,False,True,BLOCKED,LIVE,,,0,REPOSITORY_MISSING,repository not found: /home/GRT/work/_external/TangoFlux,
fb_002_tuesday_repair,robot_warehouse_pick_001,fb_002_tuesday_repair,control,control,CONTROL,cpu,20260729,30,cases/robot_warehouse_pick_001/input_video.mp4,cases/robot_warehouse_pick_001/director_sound_script.yaml,artifacts/repair/batch_20260714/fb_002/after.wav,MANUAL_REVIEW,PROVISIONAL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_002_tuesday_repair/control.wav,8,3,sha256:daf9efeb8939f0696f86986b2b6843accae43aa65ad48769f3cbfffcbd2e9887,stdlib-sine-v1,,0,0.0,True,True,SUCCEEDED,CONTROL,artifacts/model_runs/w20_candidate_matrix_20260721/fb_002_tuesday_repair/control.wav,sha256:5688631aa7ae39d6f0fa1b88a6e96cc2d37ae11cfbfe5b1a83c5171b84fec81a,4,,,"{""channels"": 1, ""clip_ratio"": 0.0, ""duration_sec"": 1.0, ""peak_abs"": 0.079345703125, ""readable"": true, ""sample_rate"": 16000, ""silence_ratio"": 0.008125}"
