job_id,case_id,variant,duration_sec,changed,old_prompt_chars,new_prompt_chars,old_prompt_head,new_prompt_head
w18_011_kitchen_chop_sizzle_001_naive,kitchen_chop_sizzle_001,naive,10.0,False,227,227,Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. Use natural ambience and match visible actions. Av,Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. Use natural ambience and match visible actions. Av
w18_012_kitchen_chop_sizzle_001_naive_rich,kitchen_chop_sizzle_001,naive_rich,10.0,False,552,552,"Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. The visible actions include: around 0.00s, room ro","Create realistic sound effects for this short video. Scene: kitchen preparation with chopping and pan sizzle. The visible actions include: around 0.00s, room ro"
w18_013_kitchen_chop_sizzle_001_dss_global,kitchen_chop_sizzle_001,dss_global,10.0,False,303,303,"Generate synchronized audio for a 10.0s video. Global scene: kitchen preparation with chopping and pan sizzle. Overall style: realistic Foley, no speech, no bac","Generate synchronized audio for a 10.0s video. Global scene: kitchen preparation with chopping and pan sizzle. Overall style: realistic Foley, no speech, no bac"
w18_014_kitchen_chop_sizzle_001_dss_event_timeline,kitchen_chop_sizzle_001,dss_event_timeline,10.0,False,778,778,Generate audio for a 10.0s video using this event timeline. Scene: kitchen preparation with chopping and pan sizzle. Event timeline: 0.00s: object=room; action=,Generate audio for a 10.0s video using this event timeline. Scene: kitchen preparation with chopping and pan sizzle. Event timeline: 0.00s: object=room; action=
w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,kitchen_chop_sizzle_001,dss_layer_avoid,10.0,False,904,904,Generate layered video-synchronized audio. Scene layer: kitchen preparation with chopping and pan sizzle. Foley layer must emphasize these events: 0.00s: object,Generate layered video-synchronized audio. Scene layer: kitchen preparation with chopping and pan sizzle. Foley layer must emphasize these events: 0.00s: object
w18_016_robot_warehouse_pick_001_naive,robot_warehouse_pick_001,naive,10.0,False,228,228,Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. Use natural ambience and match visible actions. Avoid huma,Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. Use natural ambience and match visible actions. Avoid huma
w18_017_robot_warehouse_pick_001_naive_rich,robot_warehouse_pick_001,naive_rich,10.0,False,556,556,"Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. The visible actions include: around 0.00s, warehouse wareh","Create realistic sound effects for this short video. Scene: robot arm picking an item in a warehouse. The visible actions include: around 0.00s, warehouse wareh"
w18_018_robot_warehouse_pick_001_dss_global,robot_warehouse_pick_001,dss_global,10.0,False,304,304,"Generate synchronized audio for a 10.0s video. Global scene: robot arm picking an item in a warehouse. Overall style: realistic Foley, no speech, no background ","Generate synchronized audio for a 10.0s video. Global scene: robot arm picking an item in a warehouse. Overall style: realistic Foley, no speech, no background "
w18_019_robot_warehouse_pick_001_dss_event_timeline,robot_warehouse_pick_001,dss_event_timeline,10.0,False,781,781,Generate audio for a 10.0s video using this event timeline. Scene: robot arm picking an item in a warehouse. Event timeline: 0.00s: object=warehouse; action=war,Generate audio for a 10.0s video using this event timeline. Scene: robot arm picking an item in a warehouse. Event timeline: 0.00s: object=warehouse; action=war
w18_020_robot_warehouse_pick_001_dss_layer_avoid,robot_warehouse_pick_001,dss_layer_avoid,10.0,False,907,907,Generate layered video-synchronized audio. Scene layer: robot arm picking an item in a warehouse. Foley layer must emphasize these events: 0.00s: object=warehou,Generate layered video-synchronized audio. Scene layer: robot arm picking an item in a warehouse. Foley layer must emphasize these events: 0.00s: object=warehou
w18_021_street_rain_crosswalk_001_naive,street_rain_crosswalk_001,naive,9.0,False,237,237,Create realistic sound effects for this short video. Scene: rainy street crosswalk with passing footsteps and vehicles. Use natural ambience and match visible a,Create realistic sound effects for this short video. Scene: rainy street crosswalk with passing footsteps and vehicles. Use natural ambience and match visible a
w18_022_street_rain_crosswalk_001_naive_rich,street_rain_crosswalk_001,naive_rich,9.0,False,600,600,Create realistic sound effects for this short video. Scene: rainy street crosswalk with passing footsteps and vehicles. The visible actions include: around 0.00,Create realistic sound effects for this short video. Scene: rainy street crosswalk with passing footsteps and vehicles. The visible actions include: around 0.00
w18_023_street_rain_crosswalk_001_dss_global,street_rain_crosswalk_001,dss_global,9.0,True,313,312,"Generate synchronized audio for a 10.0s video. Global scene: rainy street crosswalk with passing footsteps and vehicles. Overall style: realistic Foley, no spee","Generate synchronized audio for a 9.0s video. Global scene: rainy street crosswalk with passing footsteps and vehicles. Overall style: realistic Foley, no speec"
w18_024_street_rain_crosswalk_001_dss_event_timeline,street_rain_crosswalk_001,dss_event_timeline,9.0,True,826,825,Generate audio for a 10.0s video using this event timeline. Scene: rainy street crosswalk with passing footsteps and vehicles. Event timeline: 0.00s: object=rai,Generate audio for a 9.0s video using this event timeline. Scene: rainy street crosswalk with passing footsteps and vehicles. Event timeline: 0.00s: object=rain
w18_025_street_rain_crosswalk_001_dss_layer_avoid,street_rain_crosswalk_001,dss_layer_avoid,9.0,False,952,952,Generate layered video-synchronized audio. Scene layer: rainy street crosswalk with passing footsteps and vehicles. Foley layer must emphasize these events: 0.0,Generate layered video-synchronized audio. Scene layer: rainy street crosswalk with passing footsteps and vehicles. Foley layer must emphasize these events: 0.0
w18_026_subway_arrival_door_001_naive,subway_arrival_door_001,naive,10.0,False,229,229,Create realistic sound effects for this short video. Scene: subway train arriving and doors opening. Use natural ambience and match visible actions. Avoid music,Create realistic sound effects for this short video. Scene: subway train arriving and doors opening. Use natural ambience and match visible actions. Avoid music
w18_027_subway_arrival_door_001_naive_rich,subway_arrival_door_001,naive_rich,10.0,False,597,597,"Create realistic sound effects for this short video. Scene: subway train arriving and doors opening. The visible actions include: around 0.00s, platform platfor","Create realistic sound effects for this short video. Scene: subway train arriving and doors opening. The visible actions include: around 0.00s, platform platfor"
w18_028_subway_arrival_door_001_dss_global,subway_arrival_door_001,dss_global,10.0,False,305,305,"Generate synchronized audio for a 10.0s video. Global scene: subway train arriving and doors opening. Overall style: realistic Foley, no speech, no background m","Generate synchronized audio for a 10.0s video. Global scene: subway train arriving and doors opening. Overall style: realistic Foley, no speech, no background m"
w18_029_subway_arrival_door_001_dss_event_timeline,subway_arrival_door_001,dss_event_timeline,10.0,False,823,823,Generate audio for a 10.0s video using this event timeline. Scene: subway train arriving and doors opening. Event timeline: 0.00s: object=platform; action=platf,Generate audio for a 10.0s video using this event timeline. Scene: subway train arriving and doors opening. Event timeline: 0.00s: object=platform; action=platf
w18_030_subway_arrival_door_001_dss_layer_avoid,subway_arrival_door_001,dss_layer_avoid,10.0,False,949,949,Generate layered video-synchronized audio. Scene layer: subway train arriving and doors opening. Foley layer must emphasize these events: 0.00s: object=platform,Generate layered video-synchronized audio. Scene layer: subway train arriving and doors opening. Foley layer must emphasize these events: 0.00s: object=platform
