job_id,case_id,variant,status,block_reason,video_path,prompt_chars,event_count,primary_source,fallback_source,video_conditioned_primary,expected_output_wav,expected_output_flac,request_json
w18_011_kitchen_chop_sizzle_001_naive,kitchen_chop_sizzle_001,naive,queued,,cases/kitchen_chop_sizzle_001/input_video.mp4,227,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/w18_011_kitchen_chop_sizzle_001_naive.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive/request.json
w18_012_kitchen_chop_sizzle_001_naive_rich,kitchen_chop_sizzle_001,naive_rich,queued,,cases/kitchen_chop_sizzle_001/input_video.mp4,552,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/w18_012_kitchen_chop_sizzle_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/naive_rich/request.json
w18_013_kitchen_chop_sizzle_001_dss_global,kitchen_chop_sizzle_001,dss_global,queued,,cases/kitchen_chop_sizzle_001/input_video.mp4,303,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/request.json
w18_014_kitchen_chop_sizzle_001_dss_event_timeline,kitchen_chop_sizzle_001,dss_event_timeline,queued,,cases/kitchen_chop_sizzle_001/input_video.mp4,778,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/w18_014_kitchen_chop_sizzle_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_event_timeline/request.json
w18_015_kitchen_chop_sizzle_001_dss_layer_avoid,kitchen_chop_sizzle_001,dss_layer_avoid,queued,,cases/kitchen_chop_sizzle_001/input_video.mp4,904,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/w18_015_kitchen_chop_sizzle_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_layer_avoid/request.json
w18_016_robot_warehouse_pick_001_naive,robot_warehouse_pick_001,naive,queued,,cases/robot_warehouse_pick_001/input_video.mp4,228,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/w18_016_robot_warehouse_pick_001_naive.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive/request.json
w18_017_robot_warehouse_pick_001_naive_rich,robot_warehouse_pick_001,naive_rich,queued,,cases/robot_warehouse_pick_001/input_video.mp4,556,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/w18_017_robot_warehouse_pick_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/naive_rich/request.json
w18_018_robot_warehouse_pick_001_dss_global,robot_warehouse_pick_001,dss_global,queued,,cases/robot_warehouse_pick_001/input_video.mp4,304,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/w18_018_robot_warehouse_pick_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_global/request.json
w18_019_robot_warehouse_pick_001_dss_event_timeline,robot_warehouse_pick_001,dss_event_timeline,queued,,cases/robot_warehouse_pick_001/input_video.mp4,781,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/request.json
w18_020_robot_warehouse_pick_001_dss_layer_avoid,robot_warehouse_pick_001,dss_layer_avoid,queued,,cases/robot_warehouse_pick_001/input_video.mp4,907,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/w18_020_robot_warehouse_pick_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_layer_avoid/request.json
w18_021_street_rain_crosswalk_001_naive,street_rain_crosswalk_001,naive,queued,,cases/street_rain_crosswalk_001/input_video.mp4,237,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/w18_021_street_rain_crosswalk_001_naive.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive/request.json
w18_022_street_rain_crosswalk_001_naive_rich,street_rain_crosswalk_001,naive_rich,queued,,cases/street_rain_crosswalk_001/input_video.mp4,600,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/w18_022_street_rain_crosswalk_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/naive_rich/request.json
w18_023_street_rain_crosswalk_001_dss_global,street_rain_crosswalk_001,dss_global,queued,,cases/street_rain_crosswalk_001/input_video.mp4,313,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/w18_023_street_rain_crosswalk_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_global/request.json
w18_024_street_rain_crosswalk_001_dss_event_timeline,street_rain_crosswalk_001,dss_event_timeline,queued,,cases/street_rain_crosswalk_001/input_video.mp4,826,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/request.json
w18_025_street_rain_crosswalk_001_dss_layer_avoid,street_rain_crosswalk_001,dss_layer_avoid,queued,,cases/street_rain_crosswalk_001/input_video.mp4,952,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/w18_025_street_rain_crosswalk_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_layer_avoid/request.json
w18_026_subway_arrival_door_001_naive,subway_arrival_door_001,naive,queued,,cases/subway_arrival_door_001/input_video.mp4,229,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/request.json
w18_027_subway_arrival_door_001_naive_rich,subway_arrival_door_001,naive_rich,queued,,cases/subway_arrival_door_001/input_video.mp4,597,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/w18_027_subway_arrival_door_001_naive_rich.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive_rich/request.json
w18_028_subway_arrival_door_001_dss_global,subway_arrival_door_001,dss_global,queued,,cases/subway_arrival_door_001/input_video.mp4,305,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/w18_028_subway_arrival_door_001_dss_global.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_global/request.json
w18_029_subway_arrival_door_001_dss_event_timeline,subway_arrival_door_001,dss_event_timeline,queued,,cases/subway_arrival_door_001/input_video.mp4,823,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/w18_029_subway_arrival_door_001_dss_event_timeline.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_event_timeline/request.json
w18_030_subway_arrival_door_001_dss_layer_avoid,subway_arrival_door_001,dss_layer_avoid,queued,,cases/subway_arrival_door_001/input_video.mp4,949,4,MMAudio,StableAudioOpen_or_T2A,True,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.wav,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/w18_030_subway_arrival_door_001_dss_layer_avoid.flac,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/dss_layer_avoid/request.json
