case_id,candidate_id,canonical_source,calibrated_rank,calibrated_selection,calibrated_score,calibrated_reason,rank_score,source_label,artifact_path,duration_sec_probe,peak_probe,rms_probe,silence_ratio_probe,path_exists,video_conditioned,readable,eligible_for_rerank,rank_status,selection,rank_reason,reject_reason,repair_action,duration_sec,rms,peak,silence_ratio,audio_probe_error,merge_count
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=10.0 | peak_healthy_bonus=0.045,peak=0.377411 | rms_healthy_bonus=0.045,rms=0.015006 | low_silence_bonus=0.035,silence=0.0087",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_avoid_priority.wav,10.0,0.377411,0.015006,0.0087,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=10.0; peak=0.377410888671875; rms=0.015005960129201412; silence=0.0087; merge_count=3,,,10.0,0.015005960129201412,0.377410888671875,0.0087,,3
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=10.0 | peak_healthy_bonus=0.045,peak=0.329407 | rms_healthy_bonus=0.045,rms=0.015135 | low_silence_bonus=0.035,silence=0.008675",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/kitchen_chop_sizzle_001__mmaudio__dss_compact.wav,10.0,0.329407,0.015135,0.008675,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=10.0; peak=0.32940673828125; rms=0.015135027468204498; silence=0.008675; merge_count=3,,,10.0,0.015135027468204498,0.32940673828125,0.008675,,3
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=10.0 | peak_healthy_bonus=0.045,peak=0.38562 | rms_healthy_bonus=0.045,rms=0.110776 | low_silence_bonus=0.035,silence=0.002673",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,10.0,0.38562,0.110776,0.002673,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=10.0; peak=0.38562; rms=0.110776; silence=0.064533; merge_count=1,,,,,,0.064533,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=10.0 | peak_healthy_bonus=0.045,peak=0.38562 | rms_healthy_bonus=0.045,rms=0.110776 | low_silence_bonus=0.035,silence=0.002673",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,10.0,0.38562,0.110776,0.002673,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=10.0; peak=0.38562; rms=0.110776; silence=0.002673; merge_count=1,,,,,,,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1,control_or_repair_candidate,5,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=10.0 | peak_healthy_bonus=0.045,peak=0.813934 | rms_healthy_bonus=0.045,rms=0.122269 | low_silence_bonus=0.035,silence=0.003033",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_repaired/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1.wav,10.0,0.813934,0.122269,0.003033,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=10.0; peak=0.813934; rms=0.122269; silence=0.003033; merge_count=1,,,,,,,,1
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__repair_seed__unknown,repair_candidate,6,rejected,0.05,not_readable_or_not_eligible,0.0,repair_seed,,,,,,False,false,false,false,rejected,rejected,not_readable_or_not_eligible,,,,,,,empty_path,1
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=11.0 | peak_healthy_bonus=0.045,peak=0.355835 | rms_healthy_bonus=0.045,rms=0.015222 | low_silence_bonus=0.035,silence=0.0091",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_avoid_priority.wav,11.0,0.355835,0.015222,0.0091,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=11.0; peak=0.3558349609375; rms=0.01481595914810896; silence=0.009130681818181819; merge_count=3,,,11.0,0.01481595914810896,0.3558349609375,0.009130681818181819,,3
robot_warehouse_pick_001,robot_warehouse_pick_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=11.0 | peak_healthy_bonus=0.045,peak=0.337585 | rms_healthy_bonus=0.045,rms=0.014905 | low_silence_bonus=0.035,silence=0.008462",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/robot_warehouse_pick_001__mmaudio__dss_compact.wav,11.0,0.337585,0.014905,0.008462,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=11.0; peak=0.33758544921875; rms=0.014517366886138916; silence=0.008488636363636363; merge_count=3,,,11.0,0.014517366886138916,0.33758544921875,0.008488636363636363,,3
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=11.0 | peak_healthy_bonus=0.045,peak=0.340149 | rms_healthy_bonus=0.045,rms=0.06734 | low_silence_bonus=0.035,silence=0.002962",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,11.0,0.340149,0.06734,0.002962,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=11.0; peak=0.340149; rms=0.06734; silence=0.075636; merge_count=1,,,,,,0.075636,,1
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=11.0 | peak_healthy_bonus=0.045,peak=0.340149 | rms_healthy_bonus=0.045,rms=0.06734 | low_silence_bonus=0.035,silence=0.002962",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,11.0,0.340149,0.06734,0.002962,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=11.0; peak=0.340149; rms=0.06734; silence=0.002962; merge_count=1,,,,,,,,1
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=9.0 | peak_healthy_bonus=0.045,peak=0.323181 | rms_healthy_bonus=0.045,rms=0.01517 | low_silence_bonus=0.035,silence=0.009056",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_avoid_priority.wav,9.0,0.323181,0.01517,0.009056,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=9.0; peak=0.32318115234375; rms=0.015169627964496613; silence=0.009055555555555556; merge_count=3,,,9.0,0.015169627964496613,0.32318115234375,0.009055555555555556,,3
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=9.0 | peak_healthy_bonus=0.045,peak=0.363342 | rms_healthy_bonus=0.045,rms=0.015539 | low_silence_bonus=0.035,silence=0.008924",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_compact.wav,9.0,0.363342,0.015539,0.008924,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=9.0; peak=0.36334228515625; rms=0.015538826584815979; silence=0.008923611111111111; merge_count=3,,,9.0,0.015538826584815979,0.36334228515625,0.008923611111111111,,3
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=9.0 | peak_healthy_bonus=0.045,peak=0.421783 | rms_healthy_bonus=0.045,rms=0.069062 | low_silence_bonus=0.035,silence=0.002382",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,9.0,0.421783,0.069062,0.002382,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=9.0; peak=0.421783; rms=0.069062; silence=0.057479; merge_count=1,,,,,,0.057479,,1
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=9.0 | peak_healthy_bonus=0.045,peak=0.421783 | rms_healthy_bonus=0.045,rms=0.069062 | low_silence_bonus=0.035,silence=0.002382",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,9.0,0.421783,0.069062,0.002382,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=9.0; peak=0.421783; rms=0.069062; silence=0.002382; merge_count=1,,,,,,,,1
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_avoid_priority,fallback_mmaudio,1,winner,0.93,"source_base=0.66 | dss_avoid_priority_bonus=0.065 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=12.0 | peak_healthy_bonus=0.045,peak=0.320068 | rms_healthy_bonus=0.045,rms=0.014809 | low_silence_bonus=0.035,silence=0.008756",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_avoid_priority.wav,12.0,0.320068,0.014809,0.008756,True,false,true,true,ranked,winner,source=fallback_mmaudio; readable=True; path_exists=True; duration=12.0; peak=0.320068359375; rms=0.014108228497207165; silence=0.008489583333333333; merge_count=3,,,12.0,0.014108228497207165,0.320068359375,0.008489583333333333,,3
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_compact,fallback_mmaudio,2,runner_up,0.915,"source_base=0.66 | dss_compact_bonus=0.035 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=12.0 | peak_healthy_bonus=0.045,peak=0.373108 | rms_healthy_bonus=0.045,rms=0.015066 | low_silence_bonus=0.035,silence=0.009025",1.0,fallback_mmaudio_baseline,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_compact.wav,12.0,0.373108,0.015066,0.009025,True,false,true,true,ranked,rejected,source=fallback_mmaudio; readable=True; path_exists=True; duration=12.0; peak=0.37310791015625; rms=0.014335204847157001; silence=0.009104166666666667; merge_count=3,,,12.0,0.014335204847157001,0.37310791015625,0.009104166666666667,,3
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_rule_foley,3,rejected,0.78,"source_base=0.54 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=12.0 | peak_healthy_bonus=0.045,peak=0.316467 | rms_healthy_bonus=0.045,rms=0.047012 | low_silence_bonus=0.035,silence=0.002138",1.0,control_seed,/home/GRT/work/audio_engineering_repo_skeleton_v1/artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,12.0,0.316467,0.047012,0.002138,True,false,true,true,ranked,rejected,source=control_rule_foley; readable=True; path_exists=True; duration=12.0; peak=0.316467; rms=0.047012; silence=0.056891; merge_count=1,,,,,,0.056891,,1
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_or_repair_candidate,4,rejected,0.74,"source_base=0.5 | control_rule_interpretable_bonus=0.020 | artifact_exists_bonus=0.045 | duration_in_demo_range_bonus=0.050,duration=12.0 | peak_healthy_bonus=0.045,peak=0.316467 | rms_healthy_bonus=0.045,rms=0.047012 | low_silence_bonus=0.035,silence=0.002138",1.0,control_or_repair_candidate,artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,12.0,0.316467,0.047012,0.002138,True,false,true,true,ranked,rejected,source=control_or_repair_candidate; readable=True; path_exists=True; duration=12.0; peak=0.316467; rms=0.047012; silence=0.002138; merge_count=1,,,,,,,,1
